name,blurb,goal,slug,disable_communication,country,deadline,state_changed_at,created_at,launched_at,staff_pick,backers_count,category,urls,deadline_weekday,state_changed_at_weekday,created_at_weekday,launched_at_weekday,deadline_month,deadline_day,deadline_hr,state_changed_at_month,state_changed_at_day,state_changed_at_hr,created_at_month,created_at_day,created_at_hr,launched_at_month,launched_at_day,launched_at_hr,create_to_launch,launch_to_deadline,launch_to_state_change,create_to_launch_days,launch_to_deadline_days,launch_to_state_change_days,SuccessfulBool,USorGB,TOPCOUNTRY,LaunchedTuesday,DeadlineWeekend
Nimbus 2.0:The World's first Smart Towel Rack (Suspended),Nimbus 2.0 Intelligent Towel Rack : Finding a way to smart your shower.,500.0,nimbus-20-the-worlds-first-smart-towel-rack,True,AU,10/4/2015 7:48,9/17/2015 18:29,8/31/2015 21:07,9/4/2015 7:48,False,38,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/933057118/nimbus-20-the-worlds-first-smart-towel-rack?ref=category"",""rewards"":""https://www.kickstarter.com/projects/933057118/nimbus-20-the-worlds-first-smart-towel-rack/rewards""}}",Sunday,Thursday,Monday,Friday,10,4,7,9,17,18,8,31,21,9,4,7,3 days 10:41:17.000000000,30 days 00:00:00.000000000,13 days 10:40:19.000000000,3,30,13,0,0,0,0,1
Fusion - Unleash your iPhone and iPad's gaming power,"Great Ergonomic and performanc, 5200mAh battery. MFi compatible for iOS devices. NFC setup for Samsung phone. Works with official games",15000.0,fusion-unleash-iphones-gaming-power,False,US,7/1/2015 18:19,7/1/2015 18:19,5/18/2015 9:10,5/28/2015 13:39,False,141,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/50508501/fusion-unleash-iphones-gaming-power?ref=category"",""rewards"":""https://www.kickstarter.com/projects/50508501/fusion-unleash-iphones-gaming-power/rewards""}}",Wednesday,Wednesday,Monday,Thursday,7,1,18,7,1,18,5,18,9,5,28,13,10 days 04:28:45.000000000,34 days 04:39:36.000000000,34 days 04:39:41.000000000,10,34,34,1,1,1,0,0
Fanwaze - a meeting place for sport fans and enthusiasts,We are creating the ultimate web and mobile meeting place for sports fans and their community with their favorite sporting activities,150000.0,fanwaze-a-meeting-place-for-sport-fans-and-enthusi,False,GB,7/5/2014 13:46,7/5/2014 13:46,4/30/2014 1:44,5/6/2014 13:46,False,0,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1369928767/fanwaze-a-meeting-place-for-sport-fans-and-enthusi?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1369928767/fanwaze-a-meeting-place-for-sport-fans-and-enthusi/rewards""}}",Saturday,Saturday,Wednesday,Tuesday,7,5,13,7,5,13,4,30,1,5,6,13,6 days 12:02:56.000000000,60 days 00:00:00.000000000,60 days 00:00:00.000000000,6,60,60,0,1,1,1,1
Quirkbot: Make your own robots with drinking straws!,"Make your own toys! Build and program quirky robots, blinking outfits and weird sounding creatures out of regular drinking straws",55000.0,quirkbot-make-your-own-robots-with-drinking-straws,False,US,2/19/2015 11:44,2/19/2015 11:45,4/7/2014 4:10,1/20/2015 11:44,True,670,Robots,"{""web"":{""project"":""https://www.kickstarter.com/projects/1687812426/quirkbot-make-your-own-robots-with-drinking-straws?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1687812426/quirkbot-make-your-own-robots-with-drinking-straws/rewards""}}",Thursday,Thursday,Monday,Tuesday,2,19,11,2,19,11,4,7,4,1,20,11,288 days 07:34:00.000000000,30 days 00:00:00.000000000,30 days 00:00:49.000000000,288,30,30,1,1,1,1,0
Summit Rapid Web Application Development Suite,"Summit is a web based rapid DYNAMIC web site builder. Enabling novices and experts, to create interactive data centric web-sites.",20000.0,summit-rapid-web-application-development-suite,False,US,1/2/2015 21:12,1/2/2015 21:12,10/11/2012 8:55,11/3/2014 21:12,False,2,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/summitide/summit-rapid-web-application-development-suite?ref=category"",""rewards"":""https://www.kickstarter.com/projects/summitide/summit-rapid-web-application-development-suite/rewards""}}",Friday,Friday,Thursday,Monday,1,2,21,1,2,21,10,11,8,11,3,21,753 days 12:17:37.000000000,60 days 00:00:00.000000000,60 days 00:00:03.000000000,753,60,60,0,1,1,0,0
"Grassroots Rapid Opportunities Website, G.R.O.W",Inspire. Engage. Network.,10000.0,grassroots-rapid-opportunities-website-grow,False,CA,6/3/2015 4:00,6/3/2015 4:00,5/4/2015 16:45,5/5/2015 11:55,False,0,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/627810749/grassroots-rapid-opportunities-website-grow?ref=category"",""rewards"":""https://www.kickstarter.com/projects/627810749/grassroots-rapid-opportunities-website-grow/rewards""}}",Wednesday,Wednesday,Monday,Tuesday,6,3,4,6,3,4,5,4,16,5,5,11,0 days 19:09:22.000000000,28 days 16:04:39.000000000,28 days 16:04:52.000000000,0,28,28,0,0,0,1,0
iQiKi,"Notification indicator that uses LED-based lighting to notify of any incoming calls, messages, e-mails or other app notifications",68000.0,iqiki,False,US,10/23/2015 14:00,10/23/2015 14:00,9/1/2015 3:06,9/23/2015 14:00,False,30,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/1142760001/iqiki?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1142760001/iqiki/rewards""}}",Friday,Friday,Tuesday,Wednesday,10,23,14,10,23,14,9,1,3,9,23,14,22 days 10:53:28.000000000,30 days 00:00:00.000000000,30 days 00:00:10.000000000,22,30,30,0,1,1,0,0
Ranked Music Community,"Ranked Music Community is a website dedicated to finding, cultivating & showcasing music and those who create it.",20000.0,ranked-music-community,False,US,12/18/2014 6:40,12/18/2014 6:40,10/26/2014 23:28,11/3/2014 6:40,False,11,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1343001647/ranked-music-community?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1343001647/ranked-music-community/rewards""}}",Thursday,Thursday,Sunday,Monday,12,18,6,12,18,6,10,26,23,11,3,6,7 days 07:12:18.000000000,45 days 00:00:00.000000000,45 days 00:00:00.000000000,7,45,45,0,1,1,0,0
MÃ¼kava Tables,"A new way to read books and tablets? Itâs about time!

MÃ¼kava (MÅ« kÃ¥ vÃ¥) is the worldâs first ergonomic reading table.",50000.0,mukava-tables,False,US,10/2/2014 0:07,10/2/2014 0:07,8/8/2014 0:25,9/2/2014 0:07,False,44,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/980712769/mukava-tables?ref=category"",""rewards"":""https://www.kickstarter.com/projects/980712769/mukava-tables/rewards""}}",Thursday,Thursday,Friday,Tuesday,10,2,0,10,2,0,8,8,0,9,2,0,24 days 23:41:46.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,24,30,30,0,1,1,1,0
WorkingOn.org - simple project tracking,A project tracking website that's so simple it may actually be useful. I use it every day.,200000.0,workingonorg-simple-project-tracking,False,US,11/11/2015 19:05,11/11/2015 19:05,10/10/2015 14:36,10/12/2015 19:05,False,0,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/287376078/workingonorg-simple-project-tracking?ref=category"",""rewards"":""https://www.kickstarter.com/projects/287376078/workingonorg-simple-project-tracking/rewards""}}",Wednesday,Wednesday,Saturday,Monday,11,11,19,11,11,19,10,10,14,10,12,19,2 days 04:28:52.000000000,30 days 00:00:00.000000000,30 days 00:00:03.000000000,2,30,30,0,1,1,0,0
